Aircraft_Type,Tail_Number
A21N,VN-A551
A21N,VN-A552
A21N,VN-A553
A21N,VN-A554
A21N,VN-A575
A21N,VN-A578
A21N,VN-A580
A321,VN-A585
A20N,VN-A596
A321,VN-A597
A321,VN-A601
A321,VN-A602
A321,VN-A603
A321,VN-A604
A321,VN-A605
A321,VN-A606
A21N,VN-A607
A321,VN-A608
A321,VN-A609
A321,VN-A610
A321,VN-A611
A321,VN-A612
A321,VN-A613
A321,VN-A614
A321,VN-A615
A21N,VN-A616
A21N,VN-A617
A21N,VN-A618
A21N,VN-A619
A21N,VN-A621
A21N,VN-A622
A21N,VN-A623
A21N,VN-A625
A321,VN-A629
A321,VN-A630
A321,VN-A632
A321,VN-A633
A321,VN-A634
A321,VN-A635
A321,VN-A636
A321,VN-A637
A321,VN-A639
A321,VN-A640
A321,VN-A641
A321,VN-A642
A321,VN-A643
A321,VN-A644
A321,VN-A645
A21N,VN-A646
A321,VN-A647
A321,VN-A648
A321,VN-A649
A320,VN-A650
A321,VN-A651
A21N,VN-A653
A320,VN-A655
A320,VN-A656
A321,VN-A657
A320,VN-A658
A321,VN-A661
A320,VN-A662
A320,VN-A663
A320,VN-A666
A321,VN-A667
A320,VN-A668
A320,VN-A669
A321,VN-A670
A320,VN-A671
A320,VN-A672
A321,VN-A673
A21N,VN-A674
A320,VN-A675
A320,VN-A676
A321,VN-A677
A321,VN-A683
A321,VN-A684
A321,VN-A685
A321,VN-A687
A320,VN-A689
A21N,VN-A693
A21N,VN-A697
A321,VN-A698
A320,VN-A699
B78X,VN-A872
B78X,VN-A874
B78X,VN-A877
A359,VN-A889
A21N,VN-A906
A20N,VN-A908
A20N,VN-A909
AT76,XU-610
AT76,XU-611
AT76,XU-612
A319,XY-AGR
A319,XY-AGV
A319,XY-ALK
E190,XY-ALO
E190,XY-ALP
A319,XY-ALY
A319,XY-ALZ
A21N,G-XATW
