Tail_Number,Aircraft_Type
A7-BHA,B789
VN-A655,A320
B-58204,A21N
9V-SME,A359
B-16216,A321
B-6825,A321
VT-IQS,A20N
VN-A614,A321
B-6835,A320
B-5633,B738
B-6145,B738
VN-A675,A320
B-6657,A321
VN-A897,A359
B-6816,A320
B-5383,B738
9M-AJH,A320
B-6886,A321
VN-A615,A321
ET-AOS,B788
B-5606,B738
9M-LRR,B38M
9M-MXF,B738
B-16718,B77W
9V-SHG,A359
N708CK,B744
B-18115,A21N
VN-A597,A321
B-16787,B77L
B-30CD,A20N
VN-A500,A21N
B-HNQ,B773
HS-TXT,A320
9V-OFH,B788
B-KKB,A21N
HS-CBR,A320
9M-AHJ,A320
B-6670,A320
RP-C4140,A21N
B-8997,A321
HS-VKJ,A321
AX-2122,C212
HL7601,B744
A7-BTB,B77L
B-1319,B738
A7-BCL,B788
B-6731,A320
B-8459,A321
B-205W,B738
B-6615,A320
HL8306,B738
A6-EGG,B77W
JA928A,B789
HL8308,A359
B-MBU,A21N
B-206Q,B38M
HL8345,B789
TC-LND,A333
VN-A575,A21N
B-9913,A320
VN-A667,A321
HS-EAE,A21N
B-6765,A320
HS-TXN,A320
B-32FW,A20N
VN-A670,A321
B-LPE,A320
A6-BLV,B789
B-KPW,B77W
LY-MLN,A320
A7-BHG,B789
VN-A612,A321
B-8595,A321
B-58205,A21N
VN-A536,A21N
9V-MBS,B38M
VT-IPR,A20N
HS-ABA,A320
RDPL-34223,A320
B-1690,A320
TC-LJO,B77L
N761GT,B77L
B-2077,B77L
B-7170,B738
B-5533,B738
9M-AJD,A320
VN-A550,A21N
RP-C9916,A321
VT-IIR,A20N
9M-LRD,B38M
B-5612,B738
HL7775,B772
N668FX,GLF6
9M-MXY,B738
9V-SHR,A359
HL8532,A21N
HS-BBG,A320
B-30DG,A20N
B-HNV,B773
N487MC,B744
HS-TXD,A320
LY-NVE,A320
B-1683,A320
A7-BFD,B77L
B-KKA,A21N
B-6388,A320
9M-AGQ,A20N
A7-BHU,B789
A6-BLK,B789
LX-VCM,B748
VN-A531,A21N
VN-A613,A321
HL8045,B77L
B-6861,A320
RP-C9903,A321
RP-C4133,A21N
HL8395,A21N
B-6857,A320
N617UP,B748
HL8555,B38M
HL8565,B738
B-20EN,B77L
B-MBP,A20N
A6-EWC,B77L
JA617J,B763
HL7771,A359
B-MBC,A320
HL8084,B789
N102FE,B763
TC-JNT,A333
B-LNZ,A332
B-KKJ,A21N
HS-EAD,A21N
B-8876,A320
B-329N,A20N
B-306U,A20N
B-6782,A320
B-5670,B738
A7-BHW,B789
9V-SHD,A359
B-16219,A321
VT-IXM,A20N
HS-ABC,A320
VN-A335,A321
B-5552,B738
B-1306,B738
B-32L2,A20N
HS-ABS,A320
B-1305,B738
B-16783,B77L
VN-A619,A21N
B-6755,A321
9M-RAN,A320
B-6856,A320
VT-IST,A20N
B-5616,B738
HL7732,B772
A6-DDF,B77L
9M-MSA,B738
9V-SHK,A359
B-16725,B77W
HS-CBJ,A20N
HL8506,A21N
B-58203,A21N
VN-A553,A21N
B-18109,A21N
VN-A549,A21N
B-KQP,B77W
B-5112,B738
LY-MLI,A320
9V-OFI,B788
B-KKH,A21N
9M-DAF,A320
B-306R,A20N
HL7417,B744
HL8077,B77L
RP-C9902,A321
B-1235,B738
A7-BCQ,B788
B-9978,A320
HL8593,B38M
N627UP,B748
HL8357,A21N
A6-ENK,B77W
HL8391,B789
N618UP,B748
B-18718,B744
VN-A527,A21N
B-1697,A320
B-227E,B763
B-LPC,A320
B-8642,A320
HS-TXR,A320
B-HNU,B773
B-5402,B738
VN-A621,A21N
A7-BHM,B789
B-32KF,A21N
VN-A603,A321
VT-IAR,A320
VN-A532,A321
VN-A606,A321
RDPL-34188,A320
TC-LJP,B77L
B-6661,A321
HS-BBX,A20N
B-1792,B738
B-32ET,A20N
B-5535,B738
9M-RAD,A320
RP-C9917,A321
VT-IQL,A20N
9M-MLS,B738
9V-SHU,A359
HS-CBD,A320
B-KQR,B77W
HS-TXU,A320
LY-NVG,A320
N702CK,B744
9M-AJS,A320
A7-BHD,B789
B-1822,A320
TC-LLT,B789
A6-BLO,B789
N477MC,B744
LX-VCF,B748
VN-A651,A321
B-8429,A320
HL8300,B738
HL8523,B38M
VN-A639,A321
B-2476,B744
A6-ENH,B77W
JA608J,B763
N419MC,B744
HL8521,A359
HL8536,B78X
B-225V,B38M
B-LEE,A321
B-1653,A320
VT-AAZ,B738
B-LIB,B744
A7-BFI,B77L
B-8879,A320
B-KQT,B77W
A7-BFZ,B77L
B-1817,A320
B-LPM,A320
LX-VCH,B748
PR-SRU,SR22
XY-ALK,A319
B-227K,B77L
B-1938,B738
A7-BHO,B789
B-8585,A321
B-18116,A21N
VT-IQN,A20N
HS-BBD,A320
N452PA,B744
TC-LJR,B77L
B-5551,B738
B-6912,A321
VN-A554,A21N
B-16786,B77L
B-2408,A320
B-5488,B738
B-8652,A321
B-6853,A320
VN-A629,A321
VT-IID,A20N
B-1710,B738
HL7700,B772
9M-MLO,B738
ET-AVN,B77L
B-58210,A21N
B-HNR,B77W
HS-TEP,A333
N418MC,B744
9V-OFG,B788
9M-AJG,A320
RP-C4112,A321
B-32JL,A20N
HL7645,B744
RP-C9915,A321
B-5647,B738
B-6720,A320
B-32HT,A21N
PK-GTA,A20N
9M-WWB,B738
B-MBO,A20N
B-220N,B738
TC-LGI,A359
HS-EAG,A21N
HS-TXE,A320
B-32JT,A20N
CS-TCE,A332
B-5772,B738
B-6775,A320
VT-IJZ,A20N
B-325R,A20N
A7-BHS,B789
VN-A697,A21N
VP-BMU,B77L
N860GT,B748
B-6629,A321
B-1287,B738
B-6740,A320
VT-IAO,A320
B-1518,B738
B-16723,B77W
9M-MXI,B738
HL8590,A21N
HS-CBF,A20N
B-18359,A333
B-58201,A21N
B-309K,A20N
SP-MIX,PC24
HS-TXS,A320
B-KKG,A21N
B-6697,A320
B-8655,A320
A7-BHL,B789
VT-IKX,A321
A6-BLX,B789
VN-A392,A321
B-16789,B77L
N122FE,B763
B-6922,A320
JA654J,B763
HL8355,B738
B-207X,B738
B-6733,A320
B-6735,A320
RA-89034,SU95
VT-IKY,A321
HL8504,A21N
A6-ENB,B77W
JA618J,B763
B-MBB,A321
TC-JNL,A333
B-HTI,A321
B-KQF,B77W
B-323A,A20N
HS-TXG,A320
RA-73890,B737
B-322V,A20N
A6-BLM,B789
RDPL-34225,AT76
A7-BHI,B789
9V-MBR,B38M
B-328Z,A20N
B-16212,A321
B-18725,B744
VT-IIH,A20N
HS-BBM,A320
B-18661,B738
B-226S,B738
B-6143,B738
B-1679,A321
ET-ASI,B788
VT-ISA,A20N
9M-MXX,B738
9V-SHO,A359
B-2409,B744
B-18309,A333
B-KPD,B77W
TC-LMD,B789
B-HSN,A320
RP-C4127,A21N
N716CK,B744
RP-C9919,A321
RP-C4114,A321
B-6296,A320
N624UP,B748
HL8323,B738
A6-ENI,B77W
HL7579,A359
HL7206,B789
B-MCG,A321
B-MCE,A321
N108FE,B763
HL8732,B78X
TC-LGJ,A359
A7-BFB,B77L
B-6811,A320
B-1090,A21N
B-2076,B77L
B-18719,B744
B-325U,A20N
VT-IIQ,A20N
HS-ABD,A320
B-5435,B738
B-6978,A321
B-5701,B738
HS-BBJ,A320
9M-AGE,A20N
VT-IWY,A320
9M-MXQ,B738
B-5776,B738
VN-A646,A21N
HS-TXA,A320
9V-OJI,B789
B-8078,A320
B-LCI,A320
HS-ABZ,A320
TC-LJS,B77L
B-8500,A320
TC-LMB,B789
RP-C4123,A21N
B-6768,A320
N868GT,B748
HL8043,B77L
B-5838,B738
B-6677,A320
RP-C9928,A321
B-321C,A20N
A7-BCK,B788
N572UP,B744
HL8354,B738
A6-EPT,B77W
HL8522,A359
B-2073,B77L
B-6659,A321
N709GT,B77L
B-LJN,B748
A6-BLG,B789
VN-A286,A21N
B-1941,B738
B-HNW,B773
A7-BHV,B789
B-32C6,A20N
EZ-F430,A332
B-16223,A321
VT-IPH,A20N
VN-A979,FA8X
VN-A609,A321
B-5527,B738
B-8637,A20N
B-5389,B738
9M-RAT,A320
B-6650,A320
B-1517,B738
B-8492,A321
B-16726,B77W
HL8558,A21N
B-18311,A333
B-6732,A320
9M-AGC,A320
TC-LJL,B77L
A7-BFT,B77L
A6-BNC,B789
LX-VCI,B748
HL7620,B744
HL8044,B77L
RP-C9909,A321
HL8324,B738
HL8525,A21N
A6-EPR,B77W
B-LID,B744
9M-KXA,B734
N118FE,B763
HL7207,B789
B-LCS,A20N
B-302F,A20N
B-220E,B77L
A7-BHH,B789
B-308A,A20N
9M-AGO,A20N
B-220F,B77L
B-1969,B738
9M-LRM,B38M
HL7420,B744
B-6855,A320
ET-ATI,B788
B-5400,B738
HL8254,B772
HL8711,A21N
B-18102,A21N
VN-A607,A21N
B-KQN,B77W
HS-TXK,A320
HS-BBF,A320
9V-OFB,B788
B-LCJ,A320
B-8499,A320
A7-BHR,B789
B-306Q,A20N
B-226J,B38M
N578UP,B744
HL8252,B77L
RP-C9905,A321
B-8582,A320
A7-BCY,B788
A6-EFO,B77L
JA605F,B763
A6-ENA,B77W
HL8095,B738
JA616J,B763
HL8359,A359
TC-LLZ,B789
N605UP,B748
B-6976,A320
B-LNY,A332
XY-ALZ,A319
B-306V,A20N
B-220R,B763
B-1756,B738
B-KQI,B77W
9V-MBA,B38M
VT-IQF,A20N
B-32FX,A20N
HS-ABU,A320
B-6148,B738
B-2418,A321
B-5635,B738
9M-AGY,A320
B-6722,A320
VT-IKP,A320
9M-LRQ,B38M
HL8284,B772
9M-MXG,B738
9V-SHP,A359
RP-C8568,C56X
A7-BFJ,B77L
VN-A499,FA8X
9V-OFC,B788
B-KKM,A21N
9M-DAG,A320
B-8656,A320
TC-LLF,B789
RP-C4117,A321
D-AALB,B77L
A6-BLH,B789
LX-VCA,B748
9M-BZB,A321
N707CK,B744
B-8493,A320
B-6921,A320
N707GT,B77L
HL8069,B738
HL8000,B738
A6-END,B77W
B-MCL,A20N
B-LJG,B748
B-221E,B738
HL8535,B78X
9V-SCD,B78X
B-18723,B744
B-16215,A321
B-1711,B738
B-KQV,B77W
VN-A610,A321
9V-MBE,B38M
VT-IPI,A20N
HS-ABR,A320
N475MC,B744
B-8172,A321
B-5631,B738
9M-AGG,A20N
RA-73550,GLEX
B-1880,A321
B-1911,B738
ET-AOU,B788
VT-ISP,A20N
9M-LRS,B38M
9M-MXK,B738
B-KQZ,B77W
B-306G,A20N
ET-APU,B77L
N429MC,B744
HS-BBE,A320
HL7421,B744
A7-BHJ,B789
B-1665,A320
RP-C4125,A21N
B-2075,B77L
B-20CU,B38M
RP-C9912,A321
B-1536,B738
HL8301,B738
HL8030,B738
HL8396,A21N
HL8070,B738
JA607J,B763
A6-EGA,B77W
ET-APS,B77L
HL7209,B789
D-ALMG,A333
B-32HK,A20N
B-1652,A320
B-KQJ,B77W
B-30FE,A20N
VT-IPK,A20N
B-18665,B738
VN-A684,A321
9M-AQP,A320
B-5653,B738
B-LJM,B748
B-6781,A320
HL7791,B772
9M-MXW,B738
B-16721,B77W
B-16785,B77L
B-18358,A333
HS-TXC,A320
B-8077,A320
HS-ABV,A320
B-1886,A320
B-6940,A320
A7-BHT,B789
VN-A799,GA7C
A6-BND,B789
JA653J,B763
RA-89078,SU95
B-30CT,A20N
B-MCI,A320
B-207H,B38M
TC-JNM,A333
B-1830,A321
B-223L,B763
B-323Y,A20N
A6-BLQ,B789
B-HNH,B773
B-30D1,A20N
VT-IJX,A20N
9M-RAU,A320
B-6489,B738
B-9909,A320
RP-C8780,A333
9M-MXO,B738
B-16719,B77W
HS-BBQ,A320
B-18361,A333
B-58206,A21N
B-KPZ,B77W
B-6939,A320
VN-A268,E35L
TC-LLA,B789
RP-C4120,A21N
B-32GY,A332
N767CK,B744
RP-C9929,A321
B-6717,A320
A6-EGT,B77W
9M-KXP,B738
HL8537,B78X
B-LMA,A332
TC-LGZ,A359
B-220H,B763
B-2406,A320
B-1936,B738
B-222V,B77L
B-308Z,A20N
B-58213,A21N
B-5602,B738
B-8965,A20N
9M-AGU,A320
B-6592,A321
B-16781,B77L
VT-IIE,A20N
VN-A968,GLF6
B-1477,B738
B-327U,A21N
9V-SHC,A359
B-HNK,B773
A6-DDB,B77L
9V-OFK,B788
B-225D,B38M
N120FE,B763
D-AALO,B77L
HL8251,B77L
RP-C9914,A321
A6-ENW,B77W
N620UP,B748
HL8383,A359
VN-A358,A321
B-1696,A320
HS-EAA,A21N
A7-BFL,B77L
B-HNG,B773
EZ-F429,A332
B-223F,B77L
B-308Y,A20N
B-222J,B77L
VT-IPN,A20N
B-8259,GLF5
B-18111,A21N
B-6630,A321
B-6253,A320
B-1703,B738
B-6377,A320
VT-IIG,A20N
9M-LRW,B38M
B-325N,A21N
9V-SHW,A359
HL8559,A21N
B-LCN,A20N
9M-AQD,A320
B-6778,A320
RP-C4143,A21N
N451PA,B744
A7-BFN,B77L
A6-BLZ,B789
HL7603,B744
HL8005,B77L
N489MC,B744
B-1681,A320
N582UP,B744
HL8573,B78X
TC-JNN,A333
B-1805,A320
B-302W,A20N
VN-A683,A321
B-LJB,B748
B-322J,A20N
B-LPL,A320
B-1829,A320
B-5617,B738
9V-SHS,A359
B-2080,B77L
B-6979,A321
B-7591,B738
9M-AJY,A320
B-5657,B738
ET-AOV,B788
HL7755,B772
B-325M,A21N
B-KQO,B77W
T7-852,GLEX
B-6770,A320
B-32J1,A20N
B-1176,B38M
HL8046,B77L
N706CK,B744
B-1535,B738
B-1439,B738
A6-EFN,B77L
HL8394,A21N
B-32FE,A333
N626UP,B748
HL8361,A359
TC-JNH,A333
B-8893,A320
B-18721,B744
B-LPK,A320
B-KQX,B77W
B-6742,A321
9V-MBD,B38M
B-6753,A321
B-9910,A320
VT-IXD,A20N
B-7083,B738
HS-CBE,A20N
B-227G,B77L
9M-BZC,A321
VN-B469,C208
B-LCH,A320
B-6322,A320
B-8956,A321
HL7419,B744
HL8332,B738
RP-C9934,A21N
B-221S,B77L
B-1437,B738
B-6750,A320
B-1142,B38M
HL8571,B78X
A7-BFC,B77L
HS-EAC,A21N
B-6771,A320
A7-BFR,B77L
B-8996,A321
B-1516,B738
B-222Z,B77L
A7-BCD,B788
B-307Z,A20N
9V-MBN,B38M
VT-IQJ,A20N
B-18103,A21N
B-6147,B738
B-6355,A321
VH-PFW,G150
B-32EV,A20N
HS-BBZ,A20N
9M-AQN,A320
ET-ARF,B788
B-5619,B738
B-8503,A321
9M-MXA,B738
HL8505,A21N
ET-ARK,B77L
9V-OFJ,B788
HS-ABN,A320
B-8949,A20N
A7-BFE,B77L
A6-EFT,B77L
LX-VCK,B748
A6-DDE,B77L
B-7806,B738
A7-BCT,B788
A6-ECO,B77W
VT-BAZ,B738
B-8581,A320
9H-ALC,A332
A6-EFW,B77L
9V-SHT,A359
B-16213,A321
B-LIF,B744
B-6252,A320
B-5529,B738
B-1376,B738
B-6357,A320
N453PA,B744
A6-BLN,B789
B-32J2,A20N
RP-C4121,A21N
LX-VCN,B748
N112FE,B763
B-1743,B738
B-1438,B738
RP-C9906,A321
B-6773,A320
B-8536,A320
VN-A354,A321
B-208R,B763
HS-TXP,A320
B-KPQ,B77W
B-327F,A20N
B-58207,A21N
VT-IFZ,A320
VN-A618,A21N
VN-A895,A359
B-8573,A321
9M-MXS,B738
HS-BBU,A320
HL8557,A21N
B-18315,A333
VN-A511,A21N
9H-VFH,CL60
HS-TXH,A320
A7-BTA,B77L
B-6772,A320
RP-C4116,A321
D-AALV,B77L
B-7086,B738
B-5592,B738
B-6359,A320
HL8056,B738
N608UP,B748
HL8327,B738
D-ALMA,A332
B-309X,A20N
LX-TCV,B744
B-8110,A320
A7-BFP,B77L
A6-BNE,B789
B-20CJ,B789
B-LPQ,A320
EI-MAZ,A333
B-16211,A321
VT-IPL,A20N
HS-CBA,A320
B-18652,B738
TC-LJV,B77L
B-222K,B77L
B-5388,B738
B-6552,A321
ET-ATJ,B788
N492MC,B744
B-58208,A21N
RP-C4124,A21N
ET-AVQ,B77L
B-6347,A320
A7-BFK,B77L
B-223G,B77L
HL7400,B744
B-1513,B738
B-5650,B738
B-8408,A320
A7-BCC,B788
HL8098,B738
A6-ENY,B77W
B-222H,B77L
N628UP,B748
B-1898,A320
HS-BBC,A320
9V-SHH,A359
VT-IPQ,A20N
B-18781,B77L
B-6146,B738
HS-ABO,A320
B-6482,B738
9M-AQG,A320
A6-EFM,B77L
9M-LRK,B38M
9M-MXJ,B738
9V-SHM,A359
HL8710,A21N
HS-BBI,A320
B-6321,A320
B-1207,B38M
N744CK,B744
N123FE,B763
RP-C9925,A321
B-7565,B738
B-MCH,A320
B-1502,B738
N700CK,B744
D-AALJ,B77L
B-9915,A320
B-304P,A20N
B-1800,A320
B-LAR,A333
9V-MBB,B38M
B-1789,B738
B-324P,A21N
B-5688,B738
B-1680,A321
9M-RAQ,A20N
B-9939,A320
HS-WEH,GLF5
B-1475,B738
ET-AOP,B788
VT-IPD,A20N
TC-LLB,B789
9M-MLR,B738
HL8529,A21N
B-16782,B77L
B-18305,A333
N863GT,B748
B-7885,B738
B-7978,B738
B-6901,A320
TC-LGC,A359
N124FE,B763
D-ALMD,A332
VN-A359,A321
B-9949,A320
HL8076,B77L
B-58209,A21N
B-18106,A21N
B-221N,B763
HS-CBI,A320
B-6935,A320
VT-IQE,A20N
B-1757,B738
9V-SHL,A359
9V-OFD,B788
TC-LLJ,B789
B-6905,A320
TC-LJY,B77L
RP-C4149,A21N
B-20CA,B38M
A7-BCR,B788
B-7809,B738
N611UP,B748
A6-ENC,B77W
B-MCA,A321
HL8576,B78X
TC-LHG,A359
B-LPS,A320
B-HLQ,A333
B-1168,B789
B-32AA,A20N
VT-IXH,A20N
HS-BBT,A320
B-6827,A320
9M-AJI,A320
B-9938,A320
B-HNI,B773
9M-AQS,A320
RP-C4126,A21N
A7-BFF,B77L
N708GT,B77L
N499MC,B744
HL8075,B77L
B-5513,B738
N580UP,B744
HL8547,B738
HL8570,B78X
TC-LGR,A359
B-306T,A20N
VT-IQO,A20N
9M-RAC,A320
ET-ATG,B788
B-6719,A320
VN-A543,A21N
A7-BHX,B789
B-7031,B738
B-1441,B738
B-6736,A320
A6-ENO,B77W
VN-B218,AT75
B-32MG,A332
HS-KME,B738
A6-BLF,B789
VN-A620,A21N
N614UP,B748
B-32P5,A21N
VT-IQH,A20N
B-18006,B77W
B-16221,A321
B-30FW,A21N
B-1550,B738
B-228C,B77L
VN-A894,A359
9M-MLM,B738
XU-612,AT76
B-18306,A333
B-LEG,A321
HS-BBA,A320
9M-AJE,A320
B-1585,B738
A6-BLU,B789
9H-MLX,A320
B-32NK,A21N
RP-C9907,A321
VN-A282,A21N
B-7966,B738
B-1226,B738
B-1745,B738
B-MCD,A321
B-1646,A321
HL8218,B77W
JA602F,B763
HL8079,A359
HL7208,B789
B-LEL,A321
VN-B220,AT75
B-32MF,A19N
B-305Z,A20N
B-LPP,A320
A7-BAN,B77W
B-5771,B738
B-1616,A321
B-32LX,A21N
B-18053,B77W
HS-BBW,A320
VT-ISQ,A20N
B-7849,B738
9M-AGS,A20N
B-6923,A321
B-8220,A320
VT-IPT,A20N
ET-AYD,B789
HL7756,B772
VN-B219,AT75
B-16729,B77W
9M-AGF,A20N
B-2072,B77L
9V-NCB,A21N
B-8331,A320
B-8388,A320
B-LJF,B748
N859GT,B748
B-5021,B738
B-1358,B738
B-1965,B738
A7-BCW,B788
B-MCC,A321
HL8250,B77W
B-LJE,B748
HL8081,B789
TC-LJN,B77L
B-LDX,A333
9M-AGH,A20N
B-9929,A320
9V-MBM,B38M
B-18360,A333
B-32FV,A20N
B-32MC,A21N
N485MC,B744
B-9906,A321
VT-ISU,A20N
9M-LRT,B38M
9V-OFM,B788
B-18317,A333
B-18917,A359
A7-BFS,B77L
9M-RAL,A20N
9M-TLA,A321
D-AALH,B77L
LX-VCB,B748
9H-MLE,A320
VN-A617,A21N
