airport,mode,column,compared_rows,mismatch_count,mismatch_pct,examples
HAN,departure,Is_Fixed_Flight,28351,11214,39.55,1038: 0 -> 1 || 1040: 1 -> 0 || 1045: 0 -> 1 || 1046: 1 -> 0 || 1047: 0 -> 1
HAN,departure,Category,28351,4203,14.82,1: general aviation -> passenger || 4: general aviation -> cargo || 42: general aviation -> passenger || 158: general aviation -> passenger || 164: general aviation -> passenger
HAN,departure,Crawl_Date,28351,1717,6.06,1168: 2025-12-19 -> 2025-12-20 || 1169: 2025-12-19 -> 2025-12-20 || 1485: 2025-12-20 -> 2025-12-21 || 1486: 2025-12-20 -> 2025-12-21 || 1797: 2025-12-21 -> 2025-12-22
HAN,departure,Departure_Runway,28351,1276,4.5,261: N/A -> 11R || 267: N/A -> 11R || 268: N/A -> 11R || 466: N/A -> 11R || 674: N/A -> 11R
SGN,arrival,Flight_No,36521,35219,96.43,1: SPQ895 -> 9G895 || 15: SPQ885 -> 9G885 || 59: SPQ869 -> 9G869 || 106: SPQ1978 -> 9G1978 || 121: SPQ853 -> 9G853
SGN,arrival,Actual_Time,36521,35184,96.34,1333: 09:51 -> 09:48 || 1334: 09:48 -> 09:43 || 1335: 09:43 -> 09:38 || 1336: 09:38 -> 09:36 || 1337: 09:36 -> 09:32
SGN,arrival,Flight_Time,36521,34918,95.61,1333: 01:05 -> 00:52 || 1334: 00:52 -> 00:57 || 1335: 00:57 -> 00:37 || 1336: 00:37 -> 00:45 || 1337: 00:45 -> 01:05
SGN,arrival,Origin,36521,33271,91.1,5: Thanh Hoa -> Sao Vang || 13: Thanh Hoa -> Sao Vang || 16: Thanh Hoa -> Sao Vang || 93: Thanh Hoa -> Sao Vang || 102: Thanh Hoa -> Sao Vang
SGN,arrival,IATA,36521,33225,90.98,1268: SGN -> N/A || 1333: SGN -> VCL || 1334: VCL -> DAD || 1335: DAD -> CXR || 1336: CXR -> PQC
SGN,arrival,Aircraft_Type,36521,28515,78.08,1333: AT75 -> A320 || 1335: A320 -> A321 || 1336: A321 -> A21N || 1337: A21N -> A320 || 1339: A320 -> A321
SGN,arrival,Airline,36521,27137,74.31,1333: VASCO -> VietJet Air || 1335: VietJet Air -> Vietnam Airlines || 1336: Vietnam Airlines -> Sun PhuQuoc Airways || 1337: Sun PhuQuoc Airways -> Bamboo Airways || 1338: Bamboo Airways -> Thai Airways
