feature,Departure_Delay,Departure_Delay_Reg_Target,Arrival_Delay,Accumulated_Delay,Turnaround_Buffer,Turnaround_Buffer_Model,Tail_Stagnation_Duration,Tail_Stagnation_Duration_Model,Turnaround_Deficit_Min,Turnaround_Slack_Min,Standard_Turnaround,Tail_Sequence_Day,Prev_Departure_Delay_Tail_1,Prev_Departure_Delay_Tail_2,Prev_Turnaround_Buffer_Tail_1,Prev_Turnaround_Buffer_Tail_2,Rolling_Departure_Delay_Tail_3,Rolling_Turnaround_Buffer_Tail_3,Prev_Departure_Delay_Airport_1,Rolling_Departure_Delay_Airport_3,Airport_Load_Factor,Number_of_Flights_in_Last_Hour,Flight_Density_Disruption,Previous_Station_Disruption,Destination_Congestion_Risk,Taxi_Out_Congestion,A_CDM_TOBT_Deficit,Ground_Handling_Pressure,Terminal,Is_First_Flight,Is_Fixed_Flight,Has_Matched_Arrival,Is_Imputed_Link,Is_Diverted_Prev,Is_Airport_Congested,Is_Parallel_Usage,Is_Wide_Body,Peak_Hour_Indicator,Is_Special_Days,Is_Long_Ground_Turnaround,Exclude_From_Propagation_Training
Standard_Turnaround,0.2866555923739238,0.2929294216072338,-0.10895485218139407,-0.09272195976531805,0.167899272922945,0.17460790803474985,0.0170476767433581,0.02210458651784862,0.06453611956286254,0.0170821911156902,1.0,-0.020239271389025797,0.15063094886533163,0.1286463091957922,0.09479380740669888,0.09550612812509449,0.15740633912024174,0.0528338001008825,0.08463377812286543,0.17243986928771746,0.20890039216620468,0.360227887797622,0.004479225528217685,-0.005161668106392676,0.012327339892526053,0.23553555054822628,0.14032672795856863,0.21850433013605908,0.14373084856891152,-0.00480788166092404,-0.00541059575184761,0.025751956761937828,-0.034125129393744257,-0.003828645835921132,0.16048514959582294,-0.020141456477429976,0.551888192879757,0.028813119073044055,0.00936321230083028,-0.018415993343799234,-0.025751956761937828
Tail_Sequence_Day,0.2200526569626787,0.22004515770103136,0.07782832476733781,0.3580392602714105,-0.3365642252240699,-0.33245489984732296,-0.25852577277863303,-0.2373341873761739,0.2611580612031082,-0.2585324648652805,-0.020239271389025797,1.0,0.0305344283196479,-0.014077845124646706,-0.12116304954321397,0.013431887529493933,0.019046562004094637,0.05596731312066376,-0.0940139960331805,-0.1106709310483713,0.23870895773372333,0.21763392625491002,-0.007582987956127462,0.003075235615292497,0.19905717279586982,0.07905096133717221,0.2821596029681903,0.42792862762698275,-0.09378120217755252,-0.9146821639341292,-0.31209948903733803,-0.06846996104928942,0.05028882189027072,-0.000958422907428191,0.19782197303848215,0.11272497589809025,-0.12582065245313098,0.05137781164460774,0.015648946027059095,-0.12523274606516333,0.06846996104928942
Prev_Departure_Delay_Tail_1,0.3248858812559595,0.32308099524433204,0.14988486670401194,-0.07686959972070116,0.039699350784396625,0.04506591768195672,0.11554873035011161,0.12421221946752582,-0.06888009567961126,0.1155376245820249,0.15063094886533163,0.0305344283196479,1.0,0.33293310507713963,-0.10844097700149528,-0.03943437275545657,0.6792931845541286,-0.03356234647796615,0.00824206313055018,0.006797217636193128,0.08671695732817425,0.1182250634911188,-0.006262966859036757,-0.008101773678412244,0.04446762493523215,0.061820787506955285,0.004258627386495448,0.16609893115332694,-0.050197372013636034,0.032598691735241866,-0.05716833190264023,-0.009000295699692289,0.006212797463211858,-0.0011804726714298478,0.08553227456649092,0.03450461107260101,0.08430752628671095,-0.0027652164976306793,0.03482741322088161,-0.01694119435160424,0.009000295699692289
Prev_Departure_Delay_Tail_2,0.24792133172530975,0.24628669297274186,0.07070158773856838,-0.020757403693004713,0.04656682303687265,0.050526336175478775,0.09247203216767656,0.09820156668201759,-0.07177857448850627,0.09246695004182726,0.1286463091957922,-0.014077845124646706,0.33293310507713963,1.0,0.0453131251286746,-0.09899390766541677,0.7201852199078621,-0.009654672110415418,0.012826596904387972,0.007363207762755685,0.09136605511942368,0.1234373819993297,-0.00022933828760965988,-0.006875916691190143,0.017562696510513613,0.08988019314892849,-0.0031691164458118545,0.1518228268359045,-0.05265981501516721,-0.014288950830621547,-0.031197364977402463,-0.0076359521752184575,0.007933435924747306,0.006505839221034961,0.07695303091132025,0.016934899560084142,0.07981917920137488,0.01374738309731788,0.04181442043928675,-0.010881061645409088,0.0076359521752184575
Prev_Turnaround_Buffer_Tail_1,-0.037067709696539365,-0.037083991077382486,-0.06052191887741577,-0.14618653051820404,0.1251804223542829,0.12924270017017617,0.08425387960494878,0.08755989316888535,-0.08825602576094775,0.08423412404526416,0.09479380740669888,-0.12116304954321397,-0.10844097700149528,0.0453131251286746,1.0,0.12228768844544069,0.003988926665030925,0.5364865992289719,0.00031887537346065366,0.019651231453094126,-0.01318051273584085,-0.005921467974452204,0.01077542578692541,0.010768461676578502,-0.025355963699353935,0.007490361959102724,-0.0948582783305111,0.019599001214962587,-0.0505743991560562,-0.06549846372041664,0.031629526136848864,-0.0014483204889390094,-0.003605467006242698,0.006551147334128914,-0.025535560215659982,-0.024552727160168052,0.11491708021005484,-0.0064392960983391725,-0.0124675558765609,-0.004151103421824958,0.0014483204889390094
Prev_Turnaround_Buffer_Tail_2,0.010554364447210378,0.010866031559131411,-0.02177098470776871,-0.07931937880430805,0.062444816193621466,0.06716618818749535,0.047596799564092934,0.05225568978427065,-0.04408392184270895,0.047584954866007986,0.09550612812509449,0.013431887529493933,-0.03943437275545657,-0.09899390766541677,0.12228768844544069,1.0,-0.02538123839656384,0.5405757844016211,0.02610043880951029,0.031217321170099684,0.008829549726458583,0.013346668599262089,0.00036943171416566094,-0.0017803498206193473,0.011490830729900986,0.010737708360512313,-0.037762769256482906,0.048569076526026406,-0.05540704540980049,-0.0685908841874881,0.002144110142904709,-0.005003298680585775,0.00228503207157787,0.009901407616962558,0.008139651874567002,0.0027104383497060522,0.11180824330249409,-0.020766097165516327,-0.006994934503927649,-0.014367590100608646,0.005003298680585775
Rolling_Departure_Delay_Tail_3,0.34023188484336886,0.3383273769793965,0.10893238113646982,-0.020291053184272,0.03507935136982277,0.04089528254248267,0.1097833514435934,0.11889185284029692,-0.07676142991350486,0.1097611963664081,0.15740633912024174,0.019046562004094637,0.6792931845541286,0.7201852199078621,0.003988926665030925,-0.02538123839656384,1.0,0.014194040767879315,-0.006245583723401258,-0.013527330336061462,0.1233937641251914,0.14957607517730792,-0.00414613025844934,-0.00838231524887484,0.03937517631024506,0.09736618982832433,0.013517521592591168,0.20403061330082273,-0.08185912142147622,-0.03246150132287636,-0.054720667835444,-0.00879903711066536,0.011145668497204417,0.005503029343332795,0.10551858936180483,0.04991003684236396,0.08612975002946271,-0.002179591002625648,0.058090155478175406,-0.020493541381320996,0.00879903711066536
Rolling_Turnaround_Buffer_Tail_3,0.009858513695478525,0.009929873165146395,-0.00951300213896187,-0.05591993885840771,0.07905788160176253,0.09047566239766941,0.0831276636114506,0.09559126851755778,-0.062432211091977406,0.08306046501057643,0.0528338001008825,0.05596731312066376,-0.03356234647796615,-0.009654672110415418,0.5364865992289719,0.5405757844016211,0.014194040767879315,1.0,0.013249536117828588,0.021439229222786092,0.011883159124458835,0.015125366359245503,0.011285559573663614,0.008389303546276563,0.005119933805039968,0.02299938592952363,-0.0640292887631485,0.12366240920188391,-0.07516377314133861,-0.17776196305346628,-0.03247339274495949,-0.014697340960755898,0.011312561456210355,0.010632229593056021,-0.001797240469131072,-0.015471478080666408,0.058719953471719016,0.0059500914313111814,-0.02368855612425067,-0.037811766716741003,0.014697340960755898
Prev_Departure_Delay_Airport_1,0.02040958721027084,0.021376360869745224,-0.021325469496458527,-0.03639308278526062,0.11289246229563894,0.11769725561425108,0.09600053876466508,0.09646773968509523,-0.07191164612450042,0.09600089248544272,0.08463377812286543,-0.0940139960331805,0.00824206313055018,0.012826596904387972,0.00031887537346065366,0.02610043880951029,-0.006245583723401258,0.013249536117828588,1.0,0.7026441521305623,-0.17319706321940814,-0.07845606433766616,0.015154017311796709,-0.010967276033828924,-0.031425179965302266,-0.2194125896938368,-0.08642825068102078,-0.08397914384196759,-0.02150439086525361,0.10593452939764074,0.04968793656040203,0.007818619532392292,-0.004438351722820144,0.011322053765217133,-0.1407027269276639,-0.09439729297993406,0.04056979988259185,-0.055768324669737294,-0.021139705996227588,0.01314222284111344,-0.007818619532392292
Rolling_Departure_Delay_Airport_3,0.06867870180617548,0.07475304543029873,-0.024420999687254166,-0.05282621874105522,0.14712343648280177,0.14989465736937063,0.1032894273629648,0.09917527771440965,-0.06460363059953637,0.1032892047325194,0.17243986928771746,-0.1106709310483713,0.006797217636193128,0.007363207762755685,0.019651231453094126,0.031217321170099684,-0.013527330336061462,0.021439229222786092,0.7026441521305623,1.0,-0.1736230487754577,-0.020446786859689293,0.006094131362279755,-0.0018233387656354293,-0.06433301993470075,-0.24055751815366258,-0.06253973464886507,-0.051383421546012505,0.02073618820170327,0.1143120374550683,0.04233581656903942,0.011864849166802029,-0.015887233537491295,0.00794697143660689,-0.16674982397265556,-0.16117005806840112,0.048750117359058945,-0.057741129403694635,-0.04037544125862673,0.033097058572639365,-0.011864849166802029
