feature,missing_rate,mean,std,min,p50,p95,max
wind_speed,0.0,8.0627791730351,4.586392957288681,0.0,7.4,16.5,27.5
wind_direction,0.0,141.0655000370323,94.09391185517752,1.0,133.0,342.0,360.0
pressure,0.0,1013.0982992075088,4.447262861713392,1000.9,1012.5,1021.3,1028.6
humidity,0.0,71.37110403382732,17.31210655729027,22.0,73.0,96.0,100.0
visibility,0.0,18488.766824446702,8471.35966238263,80.0,18420.0,33740.0,43180.0
dew_point_2m,0.0,18.22968239753836,4.084312947096426,2.8,19.0,23.5,25.2
weather_code,0.0,11.054881866966516,19.51545779489442,0.0,3.0,51.0,65.0
cape,0.0,249.9400076757856,478.98911943028304,0.0,30.0,1420.0,3480.0
lifted_index,0.0,4.739141119991381,5.647928425163809,-5.1,3.4,18.0,20.0
cloud_cover_low,0.0,29.999037160228657,37.67935119030825,0.0,10.0,100.0,100.0
Visibility_SM,0.0,11.488381419212356,5.263826047552511,0.05,11.45,20.97,26.83
Visibility_Deficit_5KM_M,0.0,92.3679798544294,525.5580103504586,0.0,0.0,0.0,4920.0
Visibility_Deficit_3SM_M,0.0,84.49848147375083,497.19136331624134,0.0,0.0,0.0,4748.03
Visibility_Severity_Score,0.0,0.1114335539560595,0.5374122812566069,0.0,0.0,0.0,4.0
Dew_Point_Spread_C,0.0,6.088831731966954,4.561600638787894,0.0,5.1,15.5,24.7
Wind_Runway_Relative_Angle_Deg,0.0,82.3989321231627,45.10275540992783,0.0,83.0,162.0,180.0
Crosswind_Kmh,0.0,5.948477366532228,4.474818956055818,0.0,5.02,14.3,26.68
Headwind_Kmh,0.0,1.4846690995764853,5.332103252630066,-13.59,0.68,11.44,24.42
Tailwind_Default_Runway_Kmh,0.0,1.379405665268417,2.1886081713062,-0.0,0.0,6.08,13.59
Wind_Kt,0.0,4.3538902093334855,2.476637116193949,0.0,4.0,8.91,14.85
Crosswind_Kt,0.0,3.2119666843972823,2.4162298356183185,0.0,2.71,7.72,14.41
Headwind_Kt,0.0,0.801654468451848,2.8791204395334873,-7.34,0.37,6.18,13.18
Tailwind_Default_Runway_Kt,0.0,0.7447940667524021,1.1817520770746772,-0.0,0.0,3.28,7.34
Temp_Change_1H_C,0.0,0.0262134811034278,1.0347087440549745,-5.5,-0.1,1.9,3.8
Temp_Change_3H_C,0.0,0.1408439324261542,2.682182553617342,-7.7,-0.3,5.1,8.5
Pressure_Change_3H_Hpa,0.0,0.0055440718022609,1.7600203873159763,-4.6,0.3,2.3,3.9
Precip_Cumsum_1H_Mm,0.0,0.0840175331102418,0.468562386961565,0.0,0.0,0.3,13.9
Precip_Cumsum_3H_Mm,0.0,0.2602313508709323,1.0916578673300903,0.0,0.0,1.2,20.8
Precip_Cumsum_6H_Mm,0.0,0.5311744625266801,1.85181795489427,0.0,0.0,2.6,25.1
Wind_Gust_Estimate_Kmh,0.0,9.380894027026844,4.551391463657145,0.6,8.8,17.6,27.5
Crosswind_Max_3H_Kmh,0.0,7.342626330637831,4.464114509563899,0.08,6.48,15.56,26.68
Wind_Gust_Estimate_Kt,0.0,5.065705061305287,2.457683895811571,0.32,4.75,9.5,14.85
Crosswind_Max_3H_Kt,0.0,3.964732323810422,2.410402193183671,0.04,3.5,8.4,14.41
Gust_Variation_Kmh,0.0,1.318114853991745,1.6282140023099465,0.0,0.7,4.6,16.5
Gust_Variation_Kt,0.0,0.7117203186124333,0.8792515311044568,0.0,0.38,2.48,8.91
Is_Rain,0.0,0.1834714750301308,0.3870538742573354,0.0,0.0,1.0,1.0
Is_Heavy_Rain,0.0,0.00208054188353,0.045565636268358,0.0,0.0,0.0,1.0
Is_Low_Visibility,0.0,0.0468155589520532,0.2112443202858492,0.0,0.0,0.0,1.0
Is_Fog,0.0,0.0840835179337323,0.2775139608957693,0.0,0.0,1.0,1.0
Is_Dewpoint_Spread_Le_1_5C,0.0,0.145839926204728,0.3529468527798524,0.0,0.0,1.0,1.0
Is_Radiation_Fog_Risk,0.0,0.0838343915593291,0.2771402235365652,0.0,0.0,1.0,1.0
Is_WMO_Rain_Code,0.0,0.1834714750301308,0.3870538742573354,0.0,0.0,1.0,1.0
Is_Below_3SM_Visibility,0.0,0.0444320255320868,0.2060536496056334,0.0,0.0,0.0,1.0
Is_Below_1SM_Visibility,0.0,0.0100929847359597,0.0999559086156005,0.0,0.0,0.0,1.0
Is_Crosswind_10kt,0.0,0.0132440967148984,0.1143187587891398,0.0,0.0,0.0,1.0
Is_Tailwind_Default_Runway_5kt,0.0,0.0092378752886836,0.0956692143513784,0.0,0.0,0.0,1.0
Is_Low_Ceiling_Risk,0.0,0.202135753674614,0.4015942936211283,0.0,0.0,1.0,1.0
Is_Severe_Convection_Risk,0.0,0.008881018590214,0.0938200690979366,0.0,0.0,0.0,1.0
Is_Thunderstorm_Risk,0.0,0.1251489708387479,0.3308888682497618,0.0,0.0,1.0,1.0
Convective_Severity_Score,0.0,0.1509234508716056,0.5072366520544608,0.0,0.0,1.0,4.0
Runway_Wet_Risk,0.0,0.1855520169136608,0.3940616642782308,0.0,0.0,1.0,2.0
Forced_Runway_Swap_Risk,0.0,0.0095475999703741,0.1003790840338099,0.0,0.0,0.0,2.0
Weather_Delay_Risk_Score,0.0,0.5442737966186144,0.9237796281727554,0.0,0.0,3.0,5.0
Aviation_Operational_Risk_Score,0.0,0.6491425339518849,1.1504891158591684,0.0,0.0,3.0,7.0
Is_Fixed_Flight,0.4968791871747049,0.2951300135165879,0.4561042344336137,0.0,0.0,1.0,1.0
Gate,0.91829328234098,5.532591676967449,2.3162104940094927,1.0,6.0,9.0,11.0
Is_Jet_Bridge,0.9223735683649904,0.7034434903287362,0.4567590636735233,0.0,1.0,1.0,1.0
Is_Remote_Stand,0.9223735683649904,0.2965565096712638,0.4567590636735233,0.0,0.0,1.0,1.0
Prev_Arrival_Imputed_Link,0.4997273076172072,0.0060161507402422,0.0773306999550322,0.0,0.0,0.0,1.0
Is_Airport_Congested,0.4968791871747049,0.3465465786973221,0.4758729642294653,0.0,0.0,1.0,1.0
Airline_Avg_Delay_Rate,0.4968791871747049,29.901400505868335,17.715725881235123,-391.5,32.5,47.05,424.0
Airline_Delay_Volatility,0.4968791871747049,32.68781847623891,29.131899077467832,0.0,24.06,86.88,455.14
A_CDM_TOBT_Deficit,0.4968791871747049,25.170931306291237,30.6064800044626,0.0,13.0,83.0,327.0
Ground_Handling_Pressure,0.4968791871747049,2.496594087496487,2.4743481567526624,0.0,2.0,7.0,14.0
Destination_Congestion_Risk,0.4968791871747049,0.0541466482876758,0.226308360807334,0.0,0.0,1.0,1.0
Taxi_Out_Congestion,0.4968791871747049,3.616249347590434,2.177678595853043,0.0,3.0,7.0,13.0
