,feature,dtype,missing_count,missing_rate_pct,nunique,top_value_rate_pct,min,max,mean,std
4,wind_direction,int64,0,0.0,356,0.981280193236715,1.0,360.0,142.4213466183575,99.62097808942
25,Tailwind_Default_Runway_Kt,float64,0,0.0,509,60.88466183574879,0.0,7.34,0.6617119565217392,1.1693770941081534
21,Tailwind_Default_Runway_Kmh,float64,0,0.0,789,60.88466183574879,0.0,13.59,1.22556461352657,2.165734174087559
35,Crosswind_Max_3H_Kt,float64,0,0.0,912,0.5132850241545894,0.04,14.41,3.8510129830917874,2.427998229886275
23,Crosswind_Kt,float64,0,0.0,970,0.5132850241545894,0.0,14.41,3.11563556763285,2.4307495298989714
24,Headwind_Kt,float64,0,0.0,1314,0.6944444444444444,-7.34,13.2,1.071417572463768,2.9336623087186844
33,Crosswind_Max_3H_Kmh,float64,0,0.0,1411,0.3472222222222222,0.08,26.68,7.132050120772947,4.496657485942141
19,Crosswind_Kmh,float64,0,0.0,1563,0.5132850241545894,0.0,26.68,5.77014190821256,4.501677900591217
7,visibility,float64,0,0.0,1671,0.2566425120772947,80.0,43180.0,16545.78804347826,8737.376299558842
13,Visibility_SM,float64,0,0.0,1671,0.2566425120772947,0.05,26.83,10.281068840579708,5.429126539603783
20,Headwind_Kmh,float64,0,0.0,2074,0.6944444444444444,-13.59,24.44,1.9842225241545894,5.433164039266442
