Crawl_Date,Actual_Time,Flight_Time,Origin,IATA,Airline,Flight_No,Terminal,Arrival_Runway,Status,Tail_Number,Aircraft_Type,Category
2025-12-22,09:01,01:47,Ho Chi Minh City,SGN,BBN Airlines Indonesia,QH204,1,11L,Landed,PK-BBK,B739,passenger
2025-12-22,08:59,01:47,Ho Chi Minh City,SGN,VietJet Air,VJ176,1,11L,Landed,VN-A522,A321,passenger
2025-12-22,08:55,04:15,Seoul,ICN,VietJet Air,VJ963,2,11L,Landed,VN-A535,A321,passenger
2025-12-22,08:49,01:41,Hong Kong,HKG,HK express,UO540,2,11L,Landed,B-KKL,A21N,passenger
2025-12-22,08:44,02:52,Singapore,SIN,Scoot,TR300,2,11L,Landed,9V-OFG,B788,passenger
2025-12-22,08:41,01:29,Bangkok,DMK,AirAsia,FD642,2,11L,Landed,HS-CBJ,A20N,passenger
2025-12-22,08:38,01:45,Ho Chi Minh City,SGN,N/A,VJ124,1,11L,Landed,,N/A,unknown
2025-12-22,08:34,01:44,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,SPQ806,1,11L,Landed,VN-A280,A321,passenger
2025-12-22,08:25,01:41,Ho Chi Minh City,SGN,Vietnam Airlines,VN7272,1,11L,Landed,VN-A515,A20N,passenger
2025-12-22,08:21,01:40,Hong Kong,HKG,Cathay Pacific,CX2049,0,11L,Landed,B-LIF,B744,cargo
2025-12-22,08:14,02:48,Manila,MNL,Vietnam Airlines,VN646,2,11L,Landed,VN-A611,A321,passenger
2025-12-22,08:11,01:35,Shenzhen,SZX,Shenzhen Airlines,ZH101,2,11L,Landed,B-1683,A320,passenger
2025-12-22,08:06,02:45,Kuala Lumpur,KUL,AirAsia,AK9516,2,11L,Landed,9M-AGE,A20N,passenger
2025-12-22,07:57,01:46,Ho Chi Minh City,SGN,Vietnam Airlines,VN206,1,11L,Landed,VN-A393,A321,passenger
2025-12-22,07:46,01:45,Ho Chi Minh City,SGN,Vietravel Airlines,VU750,1,11L,Landed,VN-A289,A321,passenger
2025-12-22,07:43,03:01,Manila,MNL,Cebu Pacific,5J744,2,11L,Landed,RP-C4146,A21N,passenger
2025-12-22,07:38,01:49,Ho Chi Minh City,SGN,Bamboo Airways,QH202,1,11L,Landed,ER-00005,A320,passenger
2025-12-22,07:36,03:23,Cebu,CEB,Vietnam Airlines,VN642,2,11L,Landed,VN-A356,A321,passenger
2025-12-22,07:34,02:17,Kolkata,CCU,IndiGo,6E8893,0,11L,Landed,VT-IKX,A321,cargo
2025-12-22,07:19,01:44,Ho Chi Minh City,SGN,VietJet Air,VJ122,1,11L,Landed,VN-A528,A21N,passenger
2025-12-22,07:15,01:01,Da Nang,DAD,Vietnam Airlines,VN154,1,11L,Landed,VN-A608,A321,passenger
2025-12-22,06:56,01:45,Ho Chi Minh City,SGN,N/A,VN6002,1,11L,Landed,VN-A363,A321,passenger
2025-12-22,06:52,01:03,Da Nang,DAD,VietJet Air,VJ502,1,11L,Landed,VN-A662,A320,passenger
2025-12-22,06:45,04:07,Jakarta,CGK,Vietnam Airlines,VN634,2,11L,Landed,VN-A603,A321,passenger
2025-12-22,06:39,05:54,Doha,DOH,Qatar Airways,QR982,2,11L,Landed,A7-BHO,B789,passenger
2025-12-22,06:33,10:20,Frankfurt,FRA,Vietnam Airlines,VN36,2,11L,Landed,VN-A864,B789,passenger
2025-12-22,06:17,10:47,Paris,CDG,Vietnam Airlines,VN18,2,11L,Landed,VN-A898,A359,passenger
2025-12-22,06:08,09:14,Melbourne,MEL,Vietnam Airlines,VN778,2,11L,Landed,VN-A890,A359,passenger
2025-12-22,06:02,05:51,Abu Dhabi,AUH,Etihad Airways,EY432,2,11L,Landed,A6-BLK,B789,passenger
2025-12-22,05:57,04:11,Bengaluru,BLR,Vietnam Airlines,VN982,2,11L,Landed,VN-A622,A21N,passenger
2025-12-22,05:53,05:32,Dubai,DWC,Emirates,EK9854,0,11L,Landed,A6-EFT,B77L,cargo
2025-12-22,05:51,03:07,Shanghai,PVG,VietJet Air,VJ7239,2,11L,Landed,VN-A677,A321,passenger
2025-12-22,05:42,03:58,Ahmedabad,AMD,VietJet Air,VJ1926,2,11L,Landed,VN-A676,A320,passenger
2025-12-22,05:39,03:26,Delhi,DEL,Vietnam Airlines,VN980,2,11L,Landed,VN-A865,B789,passenger
2025-12-22,05:25,11:02,London,LHR,Vietnam Airlines,VN56,2,11L,Landed,VN-A870,B789,passenger
2025-12-22,05:06,03:30,Hyderabad,HYD,Vietnam Airlines,VN984,2,11L,Landed,VN-A329,A321,passenger
2025-12-22,04:54,03:45,Mumbai,BOM,Vietnam Airlines,VN972,2,11L,Landed,VN-A873,B78X,passenger
2025-12-22,04:33,04:05,Seoul,ICN,Kalitta Air,K4602,0,11L,Landed,N766CK,B744,cargo
2025-12-22,04:15,01:35,Guangzhou,CAN,VietJet Air,VJ7527,2,11L,Landed,VN-A641,A321,passenger
2025-12-22,03:51,03:11,Beijing,PKX,VietJet Air,VJ7713,2,11L,Landed,VN-A668,A320,passenger
2025-12-22,03:46,02:40,Taipei,TPE,EVA Air,BR6021,0,11L,Landed,B-16788,B77L,cargo
2025-12-22,03:14,02:20,Xi'an,XIY,VietJet Air,VJ7343,2,11L,Landed,VN-A689,A320,passenger
2025-12-22,03:01,01:44,Ho Chi Minh City,SGN,VietJet Air,VJ166,1,11L,Landed,VN-A651,A321,passenger
2025-12-22,02:55,01:41,Guangzhou,CAN,FedEx,FX5775,0,11L,Landed,N104FE,B763,cargo
2025-12-22,02:18,01:40,Nha Trang,CXR,VietJet Air,VJ7614,1,11L,Landed,VN-A539,A21N,passenger
2025-12-22,02:12,01:39,Ho Chi Minh City,SGN,Vietnam Airlines,VN7214,1,11L,Landed,VN-A513,A20N,passenger
2025-12-22,02:04,04:30,Seoul,ICN,Air Zeta,KJ371,0,11L,Landed,HL8319,B738,cargo
2025-12-22,01:59,04:10,Seoul,ICN,Korean Air,KE361,0,11L,Landed,HL8285,B77L,cargo
2025-12-22,01:51,01:43,Ho Chi Minh City,SGN,VietJet Air,VJ174,1,11L,Landed,VN-A661,A321,passenger
2025-12-22,01:45,02:43,Kuala Lumpur,KUL,MJets Air,WW220,0,11L,Landed,9M-KXP,B738,cargo
2025-12-22,01:42,01:44,Ho Chi Minh City,SGN,VietJet Air,VJ178,1,11L,Landed,VN-A640,A321,passenger
2025-12-22,01:33,01:47,Ho Chi Minh City,SGN,Bamboo Airways,QH282,1,11L,Landed,VN-A227,A321,passenger
2025-12-22,01:29,03:03,Shanghai,PVG,Juneyao Air,HO1329,2,11L,Landed,B-30EQ,A21N,passenger
2025-12-22,01:26,01:46,Ho Chi Minh City,SGN,Vietnam Airlines,VN270,1,11L,Landed,VN-A395,A321,passenger
2025-12-22,01:23,03:14,Shanghai,PVG,China Eastern Airlines,MU5075,2,11L,Landed,B-206S,B738,passenger
2025-12-22,01:19,02:55,Manila,MNL,Philippine Airlines,PR595,2,11L,Landed,RP-C9914,A321,passenger
2025-12-22,01:18,05:49,Tokyo,NRT,Japan Airlines,JL6739,0,11L,Landed,JA653J,B763,cargo
2025-12-22,01:08,01:02,Da Nang,DAD,Vietnam Airlines,VN7192,1,11L,Landed,VN-A514,A20N,passenger
2025-12-22,01:05,01:47,Ho Chi Minh City,SGN,Vietnam Airlines,VN7268,1,11L,Landed,VN-A612,A321,passenger
2025-12-22,01:02,02:42,Hangzhou,HGH,Air China,CA707,2,11L,Landed,B-6731,A320,passenger
2025-12-22,00:50,01:49,Ho Chi Minh City,SGN,Vietnam Airlines,VN7206,1,11L,Landed,VN-A397,A321,passenger
2025-12-22,00:45,01:40,Shenzhen,SZX,Shenzhen Airlines,ZH107,2,11L,Landed,B-1683,A320,passenger
2025-12-22,00:40,01:45,Ho Chi Minh City,SGN,VietJet Air,VJ156,1,11L,Landed,VN-A655,A320,passenger
2025-12-22,00:35,01:42,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,SPQ886,1,11L,Landed,VN-A281,A21N,passenger
2025-12-22,00:26,01:36,Nha Trang,CXR,VietJet Air,VJ778,1,11L,Landed,VN-A548,A21N,passenger
2025-12-22,00:23,01:42,Ho Chi Minh City,SGN,Vietnam Airlines,VN224,1,11L,Landed,VN-A325,A321,passenger
2025-12-22,00:07,03:44,Chennai,MAA,N/A,N/A,0,11L,Landed,VT-AFO,B738,cargo
