Route,Dep_Index,Arr_Index,Flight_No_Dep,Flight_No_Arr,Scheduled_Tail,Actual_Tail,Gap_Hours,Is_Aircraft_Swapped
SGN->DAD,35078,12008,9G972,9G972,VN-A282,VN-A282,1.05,False
SGN->DAD,35094,12000,VJ630,VJ630,VN-A673,VN-A673,1.0167,False
SGN->DAD,35114,11995,VN7118,VN7118,VN-A618,VN-A618,1.1833,False
SGN->DAD,35115,11985,VJ634,VJ634,VN-A544,VN-A544,1.0833,False
SGN->DAD,35136,11981,VN126,VN126,VN-A615,VN-A615,1.1,False
SGN->DAD,35150,11940,QH150,QH150,VN-A585,VN-A585,0.5333,False
SGN->DAD,35154,11973,9G964,9G964,VN-A284,VN-A284,1.0167,False
SGN->DAD,35156,11966,VN122,VN122,VN-A397,VN-A397,1.0333,False
SGN->DAD,35159,11964,VJ628,VJ628,VN-A542,VN-A542,1.0833,False
SGN->DAD,35162,11967,VN7122,VN7122,9H-MLO,9H-MLO,0.9833,False
SGN->DAD,35165,11960,VJ626,VJ626,VN-A698,VN-A698,1.0167,False
SGN->DAD,35167,11965,9G962,9G962,VN-A282,VN-A282,1.0,False
SGN->DAD,35181,11957,VN118,VN118,VN-A601,VN-A601,1.1,False
SGN->DAD,35182,11956,VU672,VU672,VN-A136,VN-A136,1.0,False
SGN->DAD,35206,11951,VN112,VN112,VN-A610,VN-A610,1.0167,False
SGN->DAD,35217,11945,VJ622,VJ622,VN-A642,VN-A642,1.0167,False
SGN->DAD,35228,11944,VN110,VN110,VN-A615,VN-A615,1.2667,False
SGN->DAD,35231,11942,VJ620,VJ620,VN-A650,VN-A650,1.1,False
SGN->DAD,35251,11938,VN106,VN106,VN-A623,VN-A623,1.1,False
SGN->DAD,35300,11931,VJ636,VJ636,VN-A642,VN-A642,1.0333,False
SGN->DAD,35309,12213,VJ642,VJ642,VN-A543,VN-A543,1.0333,False
SGN->DAD,35325,12202,VN148,VN148,VN-A610,VN-A610,0.5667,False
