Route,Origin,Destination,Arr_Index,Flight_No,Arr_Event_Time,Arr_Service_Date,Reason,Action,Drop_Reason
SGN->DAD,SGN,DAD,7961,VN7120,2026-02-13 01:20:00,2026-02-12,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,8091,VU684,2026-02-13 22:48:00,2026-02-13,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,8115,VN7120,2026-02-14 01:05:00,2026-02-13,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,8138,VN7110,2026-02-14 04:34:00,2026-02-14,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,8276,QH190,2026-02-15 00:50:00,2026-02-15,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,8394,VU684,2026-02-15 22:28:00,2026-02-15,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,8552,VN7122,2026-02-16 22:53:00,2026-02-16,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,8682,VN148,2026-02-17 22:15:00,2026-02-17,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,8846,VU670,2026-02-19 02:23:00,2026-02-19,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,9445,VJ1622,2026-02-23 00:05:00,2026-02-22,no_departure_match,mark_missing_departure,
SGN->DAD,SGN,DAD,12219,VU670,2026-03-14 06:05:00,2026-03-14,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,277,QH282,2025-12-16 01:18:00,2025-12-16,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,280,VJ178,2025-12-16 01:03:00,2025-12-16,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,281,VN270,2025-12-16 00:57:00,2025-12-16,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,965,VN216,2025-12-19 18:07:00,2025-12-19,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,1165,9G886,2025-12-19 00:20:00,2025-12-19,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,1478,VN7256,2025-12-20 00:41:00,2025-12-20,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,1484,9G882,2025-12-20 00:14:00,2025-12-20,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,1775,VJ182,2025-12-21 02:31:00,2025-12-21,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,2092,9G886,2025-12-22 00:35:00,2025-12-22,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,2467,VJ152,2025-12-24 19:30:00,2025-12-24,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,2477,VN252,2025-12-24 18:49:00,2025-12-24,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,3300,9G882,2025-12-26 00:11:00,2025-12-26,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,3609,9G878,2025-12-27 00:32:00,2025-12-27,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,4188,VN206,2025-12-29 08:05:00,2025-12-29,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,4251,9G882,2025-12-29 00:04:00,2025-12-29,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,5198,9G882,2026-01-01 00:21:00,2026-01-01,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,5498,9G886,2026-01-02 00:18:00,2026-01-02,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,5828,QH284,2026-01-04 23:45:00,2026-01-04,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,6450,9G886,2026-01-05 00:54:00,2026-01-05,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,7197,QH242,2026-01-08 15:35:00,2026-01-08,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,7243,VN210,2026-01-08 13:02:00,2026-01-08,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,7294,VJ148,2026-01-08 09:42:00,2026-01-08,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,7364,9G882,2026-01-08 00:18:00,2026-01-08,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,7435,VJ134,2026-01-09 20:01:00,2026-01-09,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,7558,QH224,2026-01-09 12:30:00,2026-01-09,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,7648,VJ196,2026-01-09 02:15:00,2026-01-09,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,7675,VN260,2026-01-10 23:18:00,2026-01-10,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,7690,VN220,2026-01-10 22:19:00,2026-01-10,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,7692,VJ180,2026-01-10 22:14:00,2026-01-10,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,7840,QH240,2026-01-10 13:52:00,2026-01-10,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,9377,VJ166,2026-01-15 02:30:00,2026-01-15,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,9440,VN7270,2026-01-16 20:51:00,2026-01-16,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,9904,VJ158,2026-01-18 23:39:00,2026-01-18,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,10402,QH282,2026-01-19 01:58:00,2026-01-19,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,10680,VJ1321,2026-01-21 23:47:00,2026-01-21,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,10695,VN260,2026-01-21 22:51:00,2026-01-21,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,10697,VJ180,2026-01-21 22:43:00,2026-01-21,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,10699,VN256,2026-01-21 22:21:00,2026-01-21,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,10702,VN220,2026-01-21 22:11:00,2026-01-21,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,10752,VN214,2026-01-21 16:32:00,2026-01-21,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,10823,9G822,2026-01-21 11:24:00,2026-01-21,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,10835,VJ136,2026-01-21 10:38:00,2026-01-21,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,10993,VN216,2026-01-22 18:30:00,2026-01-22,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,11067,VN212,2026-01-22 14:18:00,2026-01-22,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,11096,QH224,2026-01-22 12:21:00,2026-01-22,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,11112,9G822,2026-01-22 11:30:00,2026-01-22,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,11134,VJ148,2026-01-22 09:32:00,2026-01-22,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,11137,VU774,2026-01-22 09:24:00,2026-01-22,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,11150,VN206,2026-01-22 07:55:00,2026-01-22,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,11489,VN224,2026-01-24 23:52:00,2026-01-24,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,11505,VJ180,2026-01-24 22:33:00,2026-01-24,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,11637,VN212,2026-01-24 14:29:00,2026-01-24,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,11660,VN246,2026-01-24 13:02:00,2026-01-24,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,16499,VJ1250,2026-02-11 08:30:00,2026-02-11,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,18368,VJ386,2026-02-18 18:14:00,2026-02-18,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,19378,VJ246,2026-02-21 04:10:00,2026-02-21,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,19386,VN9140,2026-02-21 03:29:00,2026-02-21,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,19619,VN7270,2026-02-22 09:21:00,2026-02-22,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,19699,VN1188,2026-02-23 23:39:00,2026-02-23,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,21026,VN7090,2026-02-27 02:43:00,2026-02-27,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,23330,VN1188,2026-03-15 23:42:00,2026-03-15,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,23334,VJ282,2026-03-15 23:00:00,2026-03-15,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,23544,9G886,2026-03-16 01:16:00,2026-03-16,no_departure_match,mark_missing_departure,
SGN->HAN,SGN,HAN,24186,VN7294,2026-02-12 01:49:00,2026-02-12,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,331,VJ643,2025-12-16 01:19:00,2025-12-16,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,1464,VN143,2025-12-20 22:02:00,2025-12-20,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,7828,VJ641,2026-01-06 23:16:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,7839,VU685,2026-01-06 22:47:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,7852,VJ637,2026-01-06 22:14:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,7860,VN137,2026-01-06 21:53:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,7863,VJ649,2026-01-06 21:44:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,7881,VJ639,2026-01-06 20:50:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,7891,VN7133,2026-01-06 20:19:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,7902,QH171,2026-01-06 19:47:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,7916,VN135,2026-01-06 18:51:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,7939,VJ631,2026-01-06 17:42:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,7954,VN133,2026-01-06 17:07:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,7969,VJ635,2026-01-06 16:31:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,7977,VN129,2026-01-06 16:09:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,7979,VN6037,2026-01-06 16:02:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,8006,VN127,2026-01-06 14:26:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,8083,VN109,2026-01-06 10:18:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,8098,QH151,2026-01-06 09:28:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,8100,VN107,2026-01-06 09:23:00,2026-01-06,no_departure_match,mark_missing_departure,
DAD->SGN,DAD,SGN,8130,VJ621,2026-01-06 07:35:00,2026-01-06,no_departure_match,mark_missing_departure,
