Route,Dep_Index,Arr_Index,Flight_No,Dep_Tail_Before,Arr_Tail_After,Dep_AC_Before,Arr_AC_After,Gap_Hours
SGN->DAD,29013,9621,VN7104,VN-A613,VN-A625,A321,A21N,0.5333
SGN->DAD,29016,9619,VJ1630,VN-A534,VN-A550,A21N,A21N,1.85
SGN->DAD,29027,9615,VN7146,VN-A324,VN-A508,A321,A21N,0.3833
SGN->DAD,29047,9767,QH190,VN-A227,PK-BBK,A321,B739,0.9833
SGN->DAD,29052,9759,VJ642,VN-A522,VN-A667,A321,A321,0.9333
SGN->DAD,29500,9774,VN7108,VN-A513,VN-A501,A20N,A21N,1.0167
SGN->DAD,29507,9771,QH194,VN-A585,PK-BBK,A321,B739,1.25
SGN->DAD,29522,9772,VN7110,VN-A615,VN-A616,A321,A21N,2.5333
SGN->DAD,29524,9770,VJ1630,VN-A644,VN-A534,A321,A21N,0.7667
SGN->DAD,29532,9769,VN7104,VN-A339,VN-A613,A321,A321,1.2333
SGN->DAD,29569,9765,VN7146,VN-A390,VN-A324,A321,A321,2.4333
SGN->DAD,30015,9930,VN7104,VN-A390,VN-A339,A321,A321,0.0833
SGN->DAD,30016,9932,VN7108,VN-A398,VN-A513,A321,A20N,1.7667
SGN->DAD,30017,9931,VN7110,VN-A619,VN-A615,A21N,A321,0.8
SGN->DAD,30020,9928,VN7106,VN-A353,VN-A604,A321,A321,0.4833
SGN->DAD,30026,9926,VN7102,VN-A395,VN-A399,A321,A321,0.25
SGN->DAD,30033,10074,VJ636,VN-A649,VN-A636,A321,A321,1.0333
SGN->DAD,30052,9923,VN7146,VN-A332,VN-A390,A321,A321,0.5167
SGN->DAD,30056,10075,VJ644,VN-A635,VN-A553,A321,A21N,1.0167
SGN->DAD,30488,10089,VN7108,VN-A324,VN-A398,A321,A321,0.8333
SGN->DAD,30497,10087,VN7110,VN-A335,VN-A619,A321,A21N,1.35
SGN->DAD,30508,10085,VN7106,VN-A616,VN-A353,A21N,A321,2.1167
SGN->DAD,30522,10240,VN7126,VN-A323,VN-A606,A321,A321,1.0167
SGN->DAD,30529,10236,VJ636,VN-A636,VN-A673,A321,A321,0.9833
SGN->DAD,30951,10361,VU684,VN-A129,9H-MLW,A321,A320,0.9167
SGN->DAD,31408,10543,VJ636,VN-A536,VN-A632,A21N,A321,1.0167
SGN->DAD,32606,10961,VJ636,VN-A673,VN-A630,A321,A321,0.9833
SGN->DAD,32612,10956,VJ644,VN-A633,VN-A655,A321,A320,1.0333
SGN->DAD,32998,11100,VJ636,VN-A630,VN-A633,A321,A321,0.9667
SGN->DAD,33384,11238,VJ636,VN-A633,VN-A667,A321,A321,0.9667
SGN->DAD,33761,11378,VJ636,VN-A667,VN-A677,A321,A321,1.0
SGN->DAD,34154,11513,VJ636,VN-A677,VN-A526,A321,A21N,1.05
SGN->DAD,34531,11650,VJ642,VN-A673,VN-A675,A321,A320,1.0833
SGN->DAD,34541,11651,VJ636,VN-A526,VN-A657,A21N,A321,1.0333
SGN->DAD,35300,11931,VJ636,VN-A642,VN-A522,A321,A321,1.0333
SGN->DAD,36052,12214,VJ636,VN-A522,VN-A642,A321,A321,1.0667
SGN->HAN,5,280,VJ178,VN-A637,VN-A547,A321,A21N,1.6167
SGN->HAN,9,285,VN7206,VN-A505,VN-A331,A21N,A321,1.7167
SGN->HAN,357,567,VJ178,VN-A647,VN-A637,A321,A321,1.6
SGN->HAN,360,562,VN270,VN-A335,VN-A325,A321,A321,2.4667
SGN->HAN,712,864,VN270,VN-A393,VN-A335,A321,A321,1.6167
SGN->HAN,1072,1161,VJ156,VN-A644,VN-A500,A321,A21N,1.1167
SGN->HAN,1074,1160,VN7206,VN-A608,VN-A604,A321,A321,1.2333
SGN->HAN,1077,1159,VN270,VN-A602,VN-A393,A321,A321,1.4667
SGN->HAN,1086,1155,VN7216,VN-A338,VN-A514,A321,A20N,2.6333
SGN->HAN,1438,1480,VN224,VN-A390,VN-A339,A321,A321,1.2
SGN->HAN,1441,1474,VJ174,VN-A676,VN-A544,A320,A321,2.3667
SGN->HAN,1796,1780,VJ178,VN-A640,VN-A642,A321,A321,1.8667
SGN->HAN,1802,1779,VN270,VN-A395,VN-A393,A321,A321,2.25
SGN->HAN,1811,1789,VN224,VN-A325,VN-A390,A321,A321,2.3333
SGN->HAN,2182,2082,VN270,VN-A619,VN-A395,A21N,A321,1.8667
SGN->HAN,2186,2094,VN224,VN-A327,VN-A325,A321,A321,1.6167
SGN->HAN,2192,2091,VJ156,VN-A543,VN-A655,A21N,A320,2.25
SGN->HAN,2195,2077,VJ174,VN-A633,VN-A661,A321,A321,3.5667
SGN->HAN,2552,2387,VN7216,VN-A514,VN-A603,A20N,A321,1.8333
SGN->HAN,2556,2390,VN270,VN-A612,VN-A619,A321,A21N,1.7833
SGN->HAN,2562,2399,VJ174,VN-A538,VN-A633,A21N,A321,1.55
SGN->HAN,2916,2664,VN270,VN-A622,VN-A612,A21N,A321,1.45
SGN->HAN,2924,2672,VJ178,VN-A689,VN-A669,A320,A320,1.5167
SGN->HAN,2929,2674,VJ174,VN-A662,VN-A538,A320,A21N,1.5667
SGN->HAN,3262,2966,VN270,VN-A612,VN-A622,A321,A21N,1.85
SGN->HAN,3626,3289,VN270,VN-A623,VN-A612,A21N,A321,1.6833
SGN->HAN,3637,3284,VN7206,VN-A602,VN-A395,A321,A321,3.0667
SGN->HAN,3639,3302,VN224,VN-A329,VN-A326,A321,A321,1.2667
SGN->HAN,3642,3301,VN256,VN-A877,VN-A399,B78X,A321,1.7333
SGN->HAN,3997,3593,VJ174,VN-A647,VN-A671,A321,A320,3.6
SGN->HAN,4001,3606,VN7206,VN-A390,VN-A602,A321,A321,2.0833
SGN->HAN,4002,3610,VN224,VN-A608,VN-A329,A321,A321,2.0
SGN->HAN,4005,3596,VU794,VN-A129,VN-A136,A321,A320,3.5
SGN->HAN,4367,3912,VN270,VN-A615,VN-A503,A321,A21N,2.75
SGN->HAN,4379,3932,VN224,VN-A329,VN-A608,A321,A321,1.6333
SGN->HAN,4729,4223,VJ178,VN-A544,VN-A632,A321,A321,3.0833
SGN->HAN,4737,4246,VN224,VN-A336,VN-A329,A321,A321,1.5333
SGN->HAN,5094,4544,VN270,VN-A356,VN-A323,A321,A321,3.1
SGN->HAN,5098,4559,VN224,VN-A614,VN-A336,A321,A321,1.45
SGN->HAN,5099,4561,VJ174,VN-A546,VN-A650,A21N,A320,1.3333
SGN->HAN,5459,4865,VJ178,VN-A635,VN-A685,A321,A321,2.5333
SGN->HAN,5463,4875,VN270,VN-A331,VN-A356,A321,A321,1.4
SGN->HAN,5466,4877,VN224,VN-A390,VN-A614,A321,A321,1.55
SGN->HAN,5468,4884,VN7206,VN-A613,VN-A334,A321,A321,1.2
SGN->HAN,5854,5176,VJ182,VN-A553,VN-A650,A21N,A320,2.6167
SGN->HAN,5855,5185,VN270,VN-A512,VN-A331,A21N,A321,2.25
SGN->HAN,6241,5496,VN270,VN-A501,VN-A512,A21N,A21N,1.5333
SGN->HAN,6242,5488,VJ178,VN-A635,VN-A522,A321,A321,2.7333
SGN->HAN,6614,5816,VJ178,VN-A525,VN-A635,A21N,A321,1.05
SGN->HAN,6621,5812,VN270,VN-A326,VN-A501,A321,A21N,1.8333
SGN->HAN,6622,5817,VJ174,VN-A656,VN-A698,A320,A321,1.55
SGN->HAN,6988,6133,VJ182,VN-A675,VN-A698,A320,A321,1.5833
SGN->HAN,7371,6441,VN270,VN-A335,VN-A397,A321,A321,2.6833
SGN->HAN,7375,6437,VJ174,VN-A689,VN-A525,A320,A21N,3.25
SGN->HAN,7377,6451,VN224,VN-A325,VN-A392,A321,A321,1.9333
SGN->HAN,7749,6750,VN270,VN-A332,VN-A335,A321,A321,1.2
SGN->HAN,7751,6739,VJ182,VN-A522,VN-A575,A321,A21N,3.1833
SGN->HAN,7756,6745,VJ178,VN-A641,VN-A656,A321,A320,2.6333
SGN->HAN,8123,7050,VJ182,VN-A685,VN-A522,A321,A321,1.8667
SGN->HAN,8129,7049,VN270,VN-A503,VN-A332,A21N,A321,2.4833
SGN->HAN,8130,7054,VJ178,VN-A636,VN-A641,A321,A321,1.9667
SGN->HAN,8485,7351,QH282,VN-A585,VN-A227,A321,A321,1.75
SGN->HAN,8488,7358,VN270,VN-A323,VN-A503,A321,A21N,1.7
SGN->HAN,8812,7654,QH282,VN-A597,VN-A585,A321,A321,1.6
SGN->HAN,8821,7658,VN270,VN-A336,VN-A323,A321,A321,1.55
SGN->HAN,8835,7665,VN224,VN-A339,VN-A878,A321,B78X,1.7833
SGN->HAN,9149,7953,VJ182,VN-A655,VN-A673,A320,A321,2.2167
SGN->HAN,9150,7955,QH282,VN-A227,VN-A597,A321,A321,1.85
SGN->HAN,9153,7959,VN270,VN-A501,VN-A336,A21N,A321,1.6167
SGN->HAN,9162,7969,VN224,VN-A623,VN-A339,A21N,A321,1.8333
SGN->HAN,9465,8257,VJ182,VN-A661,VN-A655,A321,A320,1.8167
SGN->HAN,9468,8260,VN270,VN-A392,VN-A501,A321,A21N,2.0
SGN->HAN,9478,8267,VN224,VN-A357,VN-A623,A321,A21N,1.7333
SGN->HAN,9833,8552,VJ182,VN-A698,VN-A661,A321,A321,1.45
SGN->HAN,9838,8555,VN270,VN-A610,VN-A392,A321,A321,1.4667
SGN->HAN,10211,8846,VN270,VN-A602,VN-A610,A321,A321,1.7667
SGN->HAN,10577,9141,VJ178,VN-A698,VN-A644,A321,A321,2.25
SGN->HAN,10578,9145,VN270,VN-A622,VN-A602,A21N,A321,1.6667
SGN->HAN,10948,9388,VN270,VN-A508,VN-A622,A21N,A21N,1.6667
SGN->HAN,10949,9386,VJ178,VN-A546,VN-A698,A21N,A321,1.8333
SGN->HAN,10953,9384,VJ174,VN-A676,VN-A658,A320,A320,2.4167
SGN->HAN,11313,9623,VJ182,VN-A683,VN-A657,A321,A321,2.2
SGN->HAN,11322,9633,VN270,VN-A332,VN-A508,A321,A21N,1.9833
SGN->HAN,11325,9636,9G886,VN-A286,VN-A284,A21N,A21N,2.1667
SGN->HAN,11328,9639,VN224,VN-A329,VN-A392,A321,A321,1.85
